openrouter_model_id,openrouter_model_name,proposed_lmsys_model_name,proposed_lmsys_elo_score,match_confidence_score,notes_or_reasoning,id_similarity,name_similarity
meta-llama/llama-3.3-8b-instruct:free,Meta: Llama 3.3 8B Instruct (free),Meta-Llama-3.2-1B-Instruct,1050,82.61,Moderate similarity match,74.51,82.61
meta-llama/llama-3.3-8b-instruct:free,Meta: Llama 3.3 8B Instruct (free),Meta-Llama-3.1-70B-Instruct,1244,80.85,Moderate similarity match,73.08,80.85
microsoft/phi-3-medium-128k-instruct,Microsoft: Phi-3 Medium 128K Instruct,Phi-3-Medium-4k-Instruct,1119,74.51,Moderate similarity match,74.51,74.51
microsoft/phi-3-medium-128k-instruct,Microsoft: Phi-3 Medium 128K Instruct,Phi-3-Mini-128k-Instruct,1033,70.59,Moderate similarity match,70.59,70.59
microsoft/phi-3-mini-128k-instruct,Microsoft: Phi-3 Mini 128K Instruct,Phi-3-Mini-128k-Instruct,1033,81.63,Moderate similarity match,81.63,81.63
microsoft/phi-3.5-mini-128k-instruct,Microsoft: Phi-3.5 Mini 128K Instruct,Phi-3-Mini-128k-Instruct,1033,80.0,Moderate similarity match,80.0,80.0
mistralai/mistral-7b-instruct,Mistral: Mistral 7B Instruct,Mistral-7B-Instruct-v0.2,1069,77.27,Moderate similarity match,73.91,77.27
mistralai/mistral-7b-instruct,Mistral: Mistral 7B Instruct,Mistral-7B-Instruct-v0.1,1004,77.27,Moderate similarity match,73.91,77.27
mistralai/mistral-7b-instruct,Mistral: Mistral 7B Instruct,Mistral-Small-24B-Instruct-2501,1214,74.51,Moderate similarity match,71.7,74.51
mistralai/mistral-7b-instruct-v0.1,Mistral: Mistral 7B Instruct v0.1,Mistral-7B-Instruct-v0.1,1004,85.11,High name similarity,81.63,85.11
mistralai/mistral-7b-instruct-v0.1,Mistral: Mistral 7B Instruct v0.1,Mistral-7B-Instruct-v0.2,1069,80.85,Moderate similarity match,77.55,80.85
mistralai/mistral-7b-instruct-v0.2,Mistral: Mistral 7B Instruct v0.2,Mistral-7B-Instruct-v0.2,1069,85.11,High name similarity,81.63,85.11
mistralai/mistral-7b-instruct-v0.2,Mistral: Mistral 7B Instruct v0.2,Mistral-7B-Instruct-v0.1,1004,80.85,Moderate similarity match,77.55,80.85
mistralai/mistral-7b-instruct-v0.3,Mistral: Mistral 7B Instruct v0.3,Mistral-7B-Instruct-v0.2,1069,80.85,Moderate similarity match,77.55,80.85
mistralai/mistral-7b-instruct-v0.3,Mistral: Mistral 7B Instruct v0.3,Mistral-7B-Instruct-v0.1,1004,80.85,Moderate similarity match,77.55,80.85
mistralai/mistral-7b-instruct:free,Mistral: Mistral 7B Instruct (free),Mistral-7B-Instruct-v0.2,1069,70.83,Moderate similarity match,68.0,70.83
mistralai/mistral-7b-instruct:free,Mistral: Mistral 7B Instruct (free),Mistral-7B-Instruct-v0.1,1004,70.83,Moderate similarity match,68.0,70.83
mistralai/mistral-large,Mistral Large,Mistral-Large-2407,1248,85.71,High name similarity,64.86,85.71
mistralai/mistral-large,Mistral Large,Mistral-Large-2411,1245,85.71,High name similarity,64.86,85.71
mistralai/mistral-large,Mistral Large,Mistral-Large-2402,1154,85.71,High name similarity,64.86,85.71
mistralai/mistral-large-2407,Mistral Large 2407,Mistral-Large-2407,1248,100.0,High name similarity,78.05,100.0
mistralai/mistral-large-2407,Mistral Large 2407,Mistral-Large-2402,1154,93.75,High name similarity,73.17,93.75
mistralai/mistral-large-2407,Mistral Large 2407,Mistral-Large-2411,1245,87.5,High name similarity,68.29,87.5
mistralai/mistral-large-2411,Mistral Large 2411,Mistral-Large-2411,1245,100.0,High name similarity,78.05,100.0
mistralai/mistral-large-2411,Mistral Large 2411,Mistral-Large-2407,1248,87.5,High name similarity,68.29,87.5
mistralai/mistral-large-2411,Mistral Large 2411,Mistral-Large-2402,1154,87.5,High name similarity,68.29,87.5
mistralai/mistral-medium,Mistral Medium,Mistral Medium,1144,100.0,High name similarity,74.29,100.0
mistralai/mistral-medium,Mistral Medium,Mistral Medium 3,1343,96.3,High name similarity,72.22,96.3
mistralai/mistral-medium-3,Mistral: Mistral Medium 3,Mistral Medium 3,1343,80.0,Moderate similarity match,75.68,80.0
mistralai/mistral-small-24b-instruct-2501,Mistral: Mistral Small 3,Mistral-Small-24B-Instruct-2501,1214,85.71,High ID similarity,85.71,51.06
mistralai/mistral-small-24b-instruct-2501,Mistral: Mistral Small 3,Mistral-Small-3.1-24B-Instruct-2503,1246,80.0,Moderate similarity match,80.0,53.06
mistralai/mistral-small-24b-instruct-2501:free,Mistral: Mistral Small 3 (free),Mistral-Small-24B-Instruct-2501,1214,80.6,Moderate similarity match,80.6,50.98
mistralai/mistral-small-3.1-24b-instruct,Mistral: Mistral Small 3.1 24B,Mistral-Small-3.1-24B-Instruct-2503,1246,79.37,Moderate similarity match,79.37,64.15
mistralai/mistral-small-3.1-24b-instruct,Mistral: Mistral Small 3.1 24B,Mistral-Small-24B-Instruct-2501,1214,75.41,Moderate similarity match,75.41,58.82
mistralai/mistral-small-3.1-24b-instruct:free,Mistral: Mistral Small 3.1 24B (free),Mistral-Small-3.1-24B-Instruct-2503,1246,74.63,Moderate similarity match,74.63,63.16
mistralai/mistral-small-3.1-24b-instruct:free,Mistral: Mistral Small 3.1 24B (free),Mistral-Small-24B-Instruct-2501,1214,70.77,Moderate similarity match,70.77,58.18
mistralai/mixtral-8x22b-instruct,Mistral: Mixtral 8x22B Instruct,Mixtral-8x22b-Instruct-v0.1,1144,80.0,Moderate similarity match,76.92,80.0
mistralai/mixtral-8x7b-instruct,Mistral: Mixtral 8x7B Instruct,Mixtral-8x7B-Instruct-v0.1,1111,79.17,Moderate similarity match,76.0,79.17
mistralai/mixtral-8x7b-instruct,Mistral: Mixtral 8x7B Instruct,Mistral-7B-Instruct-v0.2,1069,73.91,Moderate similarity match,70.83,73.91
mistralai/mixtral-8x7b-instruct,Mistral: Mixtral 8x7B Instruct,Mistral-7B-Instruct-v0.1,1004,73.91,Moderate similarity match,70.83,73.91
mistralai/pixtral-large-2411,Mistral: Pixtral Large 2411,Mistral-Large-2411,1245,82.05,Moderate similarity match,78.05,82.05
nousresearch/nous-hermes-2-mixtral-8x7b-dpo,Nous: Hermes 2 Mixtral 8x7B DPO,Nous-Hermes-2-Mixtral-8x7B-DPO,1081,100.0,High name similarity,80.65,100.0
nvidia/llama-3.1-nemotron-70b-instruct,NVIDIA: Llama 3.1 Nemotron 70B Instruct,Llama-3.1-Nemotron-70B-Instruct,1265,89.66,High ID similarity; High name similarity,89.66,89.66
nvidia/llama-3.1-nemotron-70b-instruct,NVIDIA: Llama 3.1 Nemotron 70B Instruct,Llama-3.1-Nemotron-51B-Instruct,1208,82.76,Moderate similarity match,82.76,82.76
nvidia/llama-3.1-nemotron-ultra-253b-v1:free,NVIDIA: Llama 3.1 Nemotron Ultra 253B v1 (free),Llama-3.1-Nemotron-Ultra-253B-v1,1300,83.87,Moderate similarity match,83.87,83.87
nvidia/llama-3.3-nemotron-super-49b-v1,NVIDIA: Llama 3.3 Nemotron Super 49B v1,Llama-3.3-Nemotron-Super-49B-v1,1293,89.29,High ID similarity; High name similarity,89.29,89.29
nvidia/llama-3.3-nemotron-super-49b-v1:free,NVIDIA: Llama 3.3 Nemotron Super 49B v1 (free),Llama-3.3-Nemotron-Super-49B-v1,1293,83.33,Moderate similarity match,83.33,83.33
openai/gpt-3.5-turbo-0125,OpenAI: GPT-3.5 Turbo 16k,GPT-3.5-Turbo-0125,1102,82.35,Moderate similarity match,82.35,66.67
openai/gpt-3.5-turbo-0613,OpenAI: GPT-3.5 Turbo (older v0613),GPT-3.5-Turbo-0125,1102,70.59,Moderate similarity match,70.59,60.0
openai/gpt-3.5-turbo-0613,OpenAI: GPT-3.5 Turbo (older v0613),GPT-3.5-Turbo-1106,1064,70.59,Moderate similarity match,70.59,60.0
openai/gpt-3.5-turbo-1106,OpenAI: GPT-3.5 Turbo 16k (older v1106),GPT-3.5-Turbo-1106,1064,82.35,Moderate similarity match,82.35,65.12
openai/gpt-3.5-turbo-16k,OpenAI: GPT-3.5 Turbo 16k,GPT-3.5-Turbo-1106,1064,72.73,Moderate similarity match,72.73,72.73
openai/gpt-4-0314,OpenAI: GPT-4 (older v0314),GPT-4-0314,1183,72.73,Moderate similarity match,72.73,57.14
openai/gpt-4-1106-preview,OpenAI: GPT-4 Turbo (older v1106),GPT-4-1106-preview,1246,83.33,Moderate similarity match,83.33,40.0
openai/gpt-4.5-preview,OpenAI: GPT-4.5 (Preview),GPT-4.5-Preview,1394,80.0,Moderate similarity match,80.0,80.0
openai/gpt-4o-2024-05-13,OpenAI: GPT-4o (2024-05-13),GPT-4o-2024-05-13,1281,81.25,Moderate similarity match,81.25,81.25
openai/gpt-4o-2024-08-06,OpenAI: GPT-4o (2024-08-06),GPT-4o-2024-08-06,1262,81.25,Moderate similarity match,81.25,81.25
openai/gpt-4o-mini-2024-07-18,OpenAI: GPT-4o-mini (2024-07-18),GPT-4o-mini-2024-07-18,1269,85.0,High ID similarity; High name similarity,85.0,85.0
openai/o1-preview,OpenAI: o1-preview,o1-preview,1331,75.0,Moderate similarity match,75.0,75.0
openai/o3-mini-high,OpenAI: o3 Mini High,o3-mini-high,1321,76.92,Moderate similarity match,76.92,76.92
qwen/qwen-2-72b-instruct,Qwen 2 72B Instruct,Qwen2-72B-Instruct,1184,100.0,High ID similarity; High name similarity,88.89,100.0
qwen/qwen-2-72b-instruct,Qwen 2 72B Instruct,Qwen2.5-72B-Instruct,1254,96.97,High ID similarity; High name similarity,86.49,96.97
qwen/qwen-2.5-72b-instruct,Qwen2.5 72B Instruct,Qwen2.5-72B-Instruct,1254,100.0,High ID similarity; High name similarity,89.47,100.0
qwen/qwen-2.5-72b-instruct,Qwen2.5 72B Instruct,Qwen2-72B-Instruct,1184,96.97,High ID similarity; High name similarity,86.49,96.97
qwen/qwen-2.5-72b-instruct,Qwen2.5 72B Instruct,Qwen2.5-Coder-32B-Instruct,1214,82.05,Moderate similarity match,74.42,82.05
qwen/qwen-2.5-72b-instruct:free,Qwen2.5 72B Instruct (free),Qwen2.5-72B-Instruct,1254,89.47,High name similarity,80.95,89.47
qwen/qwen-2.5-72b-instruct:free,Qwen2.5 72B Instruct (free),Qwen2-72B-Instruct,1184,86.49,High name similarity,78.05,86.49
qwen/qwen-2.5-7b-instruct,Qwen2.5 7B Instruct,Qwen2.5-72B-Instruct,1254,96.97,High ID similarity; High name similarity,86.49,96.97
qwen/qwen-2.5-7b-instruct,Qwen2.5 7B Instruct,Qwen2-72B-Instruct,1184,93.75,High name similarity,83.33,93.75
qwen/qwen-2.5-7b-instruct:free,Qwen2.5 7B Instruct (free),Qwen2.5-72B-Instruct,1254,86.49,High name similarity,78.05,86.49
qwen/qwen-2.5-7b-instruct:free,Qwen2.5 7B Instruct (free),Qwen2-72B-Instruct,1184,83.33,Moderate similarity match,75.0,83.33
qwen/qwen-2.5-coder-32b-instruct,Qwen2.5 Coder 32B Instruct,Qwen2.5-Coder-32B-Instruct,1214,100.0,High ID similarity; High name similarity,91.67,100.0
qwen/qwen-2.5-coder-32b-instruct,Qwen2.5 Coder 32B Instruct,Qwen2.5-72B-Instruct,1254,82.05,Moderate similarity match,74.42,82.05
qwen/qwen-2.5-coder-32b-instruct:free,Qwen2.5 Coder 32B Instruct (free),Qwen2.5-Coder-32B-Instruct,1214,91.67,High name similarity,84.62,91.67
qwen/qwen-2.5-vl-7b-instruct,Qwen: Qwen2.5-VL 7B Instruct,Qwen2.5-72B-Instruct,1254,82.05,Moderate similarity match,82.05,82.05
qwen/qwen-2.5-vl-7b-instruct:free,Qwen: Qwen2.5-VL 7B Instruct (free),Qwen2.5-72B-Instruct,1254,74.42,Moderate similarity match,74.42,74.42
qwen/qwen-2.5-vl-7b-instruct:free,Qwen: Qwen2.5-VL 7B Instruct (free),Qwen2-72B-Instruct,1184,71.43,Moderate similarity match,71.43,71.43
qwen/qwen-max,Qwen: Qwen-Max ,Qwen2.5-Max,1337,70.0,Moderate similarity match,70.0,70.0
qwen/qwen2.5-coder-7b-instruct,Qwen: Qwen2.5 Coder 7B Instruct,Qwen2.5-Coder-32B-Instruct,1214,85.11,High ID similarity; High name similarity,85.11,85.11
qwen/qwen2.5-vl-32b-instruct,Qwen: Qwen2.5 VL 32B Instruct,Qwen2.5-72B-Instruct,1254,80.0,Moderate similarity match,80.0,80.0
qwen/qwen2.5-vl-32b-instruct:free,Qwen: Qwen2.5 VL 32B Instruct (free),Qwen2.5-72B-Instruct,1254,72.73,Moderate similarity match,72.73,72.73
qwen/qwen2.5-vl-72b-instruct,Qwen: Qwen2.5 VL 72B Instruct,Qwen2.5-72B-Instruct,1254,85.0,High ID similarity; High name similarity,85.0,85.0
qwen/qwen2.5-vl-72b-instruct,Qwen: Qwen2.5 VL 72B Instruct,Qwen2-72B-Instruct,1184,82.05,Moderate similarity match,82.05,82.05
qwen/qwen2.5-vl-72b-instruct:free,Qwen: Qwen2.5 VL 72B Instruct (free),Qwen2.5-72B-Instruct,1254,77.27,Moderate similarity match,77.27,77.27
qwen/qwen2.5-vl-72b-instruct:free,Qwen: Qwen2.5 VL 72B Instruct (free),Qwen2-72B-Instruct,1184,74.42,Moderate similarity match,74.42,74.42
qwen/qwen3-235b-a22b,Qwen: Qwen3 235B A22B,Qwen3-235B-A22B,1337,86.67,High ID similarity; High name similarity,86.67,86.67
qwen/qwen3-235b-a22b:free,Qwen: Qwen3 235B A22B (free),Qwen3-235B-A22B,1337,76.47,Moderate similarity match,76.47,76.47
qwen/qwen3-30b-a3b,Qwen: Qwen3 30B A3B,Qwen3-30B-A3B,1286,84.62,Moderate similarity match,84.62,84.62
qwen/qwen3-30b-a3b:free,Qwen: Qwen3 30B A3B (free),Qwen3-30B-A3B,1286,73.33,Moderate similarity match,73.33,73.33
qwen/qwen3-32b,Qwen: Qwen3 32B,Qwen3-32B,1324,80.0,Moderate similarity match,80.0,80.0
qwen/qwq-32b,Qwen: QwQ 32B,Qwen3-32B,1324,77.78,Moderate similarity match,77.78,77.78
qwen/qwq-32b,Qwen: QwQ 32B,QwQ-32B,1310,75.0,Moderate similarity match,75.0,75.0
qwen/qwq-32b-preview,Qwen: QwQ 32B Preview,QwQ-32B-Preview,1149,86.67,High ID similarity; High name similarity,86.67,86.67
scb10x/llama3.1-typhoon2-70b-instruct,Typhoon2 70B Instruct,OLMo-7B-instruct,1012,72.73,Moderate similarity match,56.52,72.73
scb10x/llama3.1-typhoon2-70b-instruct,Typhoon2 70B Instruct,Llama-3.1-Nemotron-70B-Instruct,1265,72.41,Moderate similarity match,72.41,62.22
01-ai/yi-large,01.AI: Yi Large,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
aetherwiing/mn-starcannon-12b,Aetherwiing: Starcannon 12B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
agentica-org/deepcoder-14b-preview:free,Agentica: Deepcoder 14B Preview (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
aion-labs/aion-1.0,AionLabs: Aion-1.0,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
alfredpros/codellama-7b-instruct-solidity,AlfredPros: CodeLLaMa 7B Instruct Solidity,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
all-hands/openhands-lm-32b-v0.1,OpenHands LM 32B V0.1,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
alpindale/goliath-120b,Goliath 120B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
alpindale/magnum-72b,Magnum 72B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthracite-org/magnum-v2-72b,Magnum v2 72B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthracite-org/magnum-v4-72b,Magnum v4 72B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-2,Anthropic: Claude v2,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-2.0,Anthropic: Claude v2.0,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-2.0:beta,Anthropic: Claude v2.0 (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-2.1,Anthropic: Claude v2.1,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-2.1:beta,Anthropic: Claude v2.1 (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-2:beta,Anthropic: Claude v2 (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-3-haiku:beta,Anthropic: Claude 3 Haiku (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-3-opus:beta,Anthropic: Claude 3 Opus (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-3-sonnet:beta,Anthropic: Claude 3 Sonnet (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-3.5-haiku:beta,Anthropic: Claude 3.5 Haiku (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-3.5-sonnet:beta,Anthropic: Claude 3.5 Sonnet (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-3.7-sonnet:beta,Anthropic: Claude 3.7 Sonnet (self-moderated),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-opus-4,Anthropic: Claude Opus 4,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
arcee-ai/arcee-blitz,Arcee AI: Arcee Blitz,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
arcee-ai/caller-large,Arcee AI: Caller Large,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
arcee-ai/coder-large,Arcee AI: Coder Large,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
arcee-ai/maestro-reasoning,Arcee AI: Maestro Reasoning,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
arcee-ai/spotlight,Arcee AI: Spotlight,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
arcee-ai/virtuoso-large,Arcee AI: Virtuoso Large,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
arcee-ai/virtuoso-medium-v2,Arcee AI: Virtuoso Medium V2,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
arliai/qwq-32b-arliai-rpr-v1:free,ArliAI: QwQ 32B RpR v1 (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
cohere/command,Cohere: Command,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
cohere/command-a,Cohere: Command A,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
cohere/command-r,Cohere: Command R,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
cohere/command-r-plus,Cohere: Command R+,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
cohere/command-r7b-12-2024,Cohere: Command R7B (12-2024),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-chat:free,DeepSeek: DeepSeek V3 (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-prover-v2,DeepSeek: DeepSeek Prover V2,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-prover-v2:free,DeepSeek: DeepSeek Prover V2 (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-distill-llama-70b,DeepSeek: R1 Distill Llama 70B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-distill-llama-70b:free,DeepSeek: R1 Distill Llama 70B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-distill-llama-8b,DeepSeek: R1 Distill Llama 8B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-distill-qwen-1.5b,DeepSeek: R1 Distill Qwen 1.5B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-distill-qwen-14b,DeepSeek: R1 Distill Qwen 14B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-distill-qwen-14b:free,DeepSeek: R1 Distill Qwen 14B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-distill-qwen-32b,DeepSeek: R1 Distill Qwen 32B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-distill-qwen-32b:free,DeepSeek: R1 Distill Qwen 32B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-r1-zero:free,DeepSeek: DeepSeek R1 Zero (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
deepseek/deepseek-v3-base:free,DeepSeek: DeepSeek V3 Base (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
eleutherai/llemma_7b,EleutherAI: Llemma 7b,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
eva-unit-01/eva-llama-3.33-70b,EVA Llama 3.33 70B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
eva-unit-01/eva-qwen-2.5-72b,EVA Qwen2.5 72B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
featherless/qwerky-72b:free,Qwerky 72B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
google/gemini-2.0-flash-exp:free,Google: Gemini 2.0 Flash Experimental (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
google/gemini-2.5-pro-exp-03-25,Google: Gemini 2.5 Pro Experimental,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
google/gemma-2-9b-it:free,Google: Gemma 2 9B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
google/gemma-3-12b-it:free,Google: Gemma 3 12B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
google/gemma-3-1b-it:free,Google: Gemma 3 1B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
google/gemma-3-27b-it:free,Google: Gemma 3 27B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
google/gemma-3-4b-it:free,Google: Gemma 3 4B (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
gryphe/mythomax-l2-13b,MythoMax 13B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
inception/mercury-coder-small-beta,Inception: Mercury Coder Small Beta,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
infermatic/mn-inferor-12b,Infermatic: Mistral Nemo Inferor 12B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
inflection/inflection-3-pi,Inflection: Inflection 3 Pi,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
inflection/inflection-3-productivity,Inflection: Inflection 3 Productivity,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
liquid/lfm-3b,Liquid: LFM 3B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
liquid/lfm-40b,Liquid: LFM 40B MoE,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
liquid/lfm-7b,Liquid: LFM 7B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
mancer/weaver,Mancer: Weaver (alpha),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
meta-llama/llama-3.1-405b:free,Meta: Llama 3.1 405B (base) (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
meta-llama/llama-4-maverick,Meta: Llama 4 Maverick,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
meta-llama/llama-4-maverick:free,Meta: Llama 4 Maverick (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
meta-llama/llama-4-scout,Meta: Llama 4 Scout,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
meta-llama/llama-4-scout:free,Meta: Llama 4 Scout (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
meta-llama/llama-guard-2-8b,Meta: LlamaGuard 2 8B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
meta-llama/llama-guard-3-8b,Llama Guard 3 8B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
meta-llama/llama-guard-4-12b,Meta: Llama Guard 4 12B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
microsoft/mai-ds-r1:free,Microsoft: MAI DS R1 (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
microsoft/phi-4,Microsoft: Phi 4,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
microsoft/phi-4-multimodal-instruct,Microsoft: Phi 4 Multimodal Instruct,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
microsoft/phi-4-reasoning-plus,Microsoft: Phi 4 Reasoning Plus,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
microsoft/phi-4-reasoning-plus:free,Microsoft: Phi 4 Reasoning Plus (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
microsoft/phi-4-reasoning:free,Microsoft: Phi 4 Reasoning (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
microsoft/wizardlm-2-8x22b,WizardLM-2 8x22B,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
minimax/minimax-01,MiniMax: MiniMax-01,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
mistralai/codestral-2501,Mistral: Codestral 2501,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
mistralai/codestral-mamba,Mistral: Codestral Mamba,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
mistralai/devstral-small,Mistral: Devstral Small,NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
mistralai/devstral-small:free,Mistral: Devstral Small (free),NO_MATCH_FOUND,,0,No similar LMSYS model found (similarity < 70%),0,0
